,NVDA,,AMZN,,AMD,,CRM
Date,Close,Date,Close,Date,Close,Date,Close
5/26/2015 16:00:00,20.73,5/26/2015 16:00:00,425.47,5/26/2015 16:00:00,2.22,5/26/2015 16:00:00,73.57
5/27/2015 16:00:00,21.84,5/27/2015 16:00:00,431.42,5/27/2015 16:00:00,2.28,5/27/2015 16:00:00,73.95
5/28/2015 16:00:00,22.14,5/28/2015 16:00:00,426.57,5/28/2015 16:00:00,2.27,5/28/2015 16:00:00,72.68
5/29/2015 16:00:00,22.13,5/29/2015 16:00:00,429.23,5/29/2015 16:00:00,2.28,5/29/2015 16:00:00,72.75
6/1/2015 16:00:00,22.38,6/1/2015 16:00:00,430.92,6/1/2015 16:00:00,2.25,6/1/2015 16:00:00,73.1
6/2/2015 16:00:00,21.94,6/2/2015 16:00:00,430.99,6/2/2015 16:00:00,2.3,6/2/2015 16:00:00,72.9
6/3/2015 16:00:00,21.7,6/3/2015 16:00:00,436.59,6/3/2015 16:00:00,2.28,6/3/2015 16:00:00,73.47
6/4/2015 16:00:00,22.09,6/4/2015 16:00:00,430.78,6/4/2015 16:00:00,2.33,6/4/2015 16:00:00,72.21
6/5/2015 16:00:00,22.26,6/5/2015 16:00:00,426.95,6/5/2015 16:00:00,2.33,6/5/2015 16:00:00,73.55
6/8/2015 16:00:00,21.75,6/8/2015 16:00:00,423.5,6/8/2015 16:00:00,2.31,6/8/2015 16:00:00,71.84
6/9/2015 16:00:00,21.86,6/9/2015 16:00:00,425.48,6/9/2015 16:00:00,2.29,6/9/2015 16:00:00,71.76
6/10/2015 16:00:00,21.47,6/10/2015 16:00:00,430.77,6/10/2015 16:00:00,2.32,6/10/2015 16:00:00,73.03
6/11/2015 16:00:00,21.7,6/11/2015 16:00:00,432.97,6/11/2015 16:00:00,2.32,6/11/2015 16:00:00,72.4
6/12/2015 16:00:00,21.11,6/12/2015 16:00:00,429.92,6/12/2015 16:00:00,2.31,6/12/2015 16:00:00,71.77
6/15/2015 16:00:00,21.07,6/15/2015 16:00:00,423.67,6/15/2015 16:00:00,2.32,6/15/2015 16:00:00,72.56
6/16/2015 16:00:00,21.33,6/16/2015 16:00:00,427.26,6/16/2015 16:00:00,2.35,6/16/2015 16:00:00,73.4
6/17/2015 16:00:00,21.58,6/17/2015 16:00:00,427.81,6/17/2015 16:00:00,2.47,6/17/2015 16:00:00,74.42
6/18/2015 16:00:00,21.94,6/18/2015 16:00:00,439.39,6/18/2015 16:00:00,2.52,6/18/2015 16:00:00,75.71
6/19/2015 16:00:00,21.87,6/19/2015 16:00:00,434.92,6/19/2015 16:00:00,2.58,6/19/2015 16:00:00,75
6/22/2015 16:00:00,21.78,6/22/2015 16:00:00,436.29,6/22/2015 16:00:00,2.62,6/22/2015 16:00:00,74.78
6/23/2015 16:00:00,21.22,6/23/2015 16:00:00,445.99,6/23/2015 16:00:00,2.61,6/23/2015 16:00:00,74.2
6/24/2015 16:00:00,21.01,6/24/2015 16:00:00,440.84,6/24/2015 16:00:00,2.62,6/24/2015 16:00:00,73.5
6/25/2015 16:00:00,21.17,6/25/2015 16:00:00,440.1,6/25/2015 16:00:00,2.58,6/25/2015 16:00:00,73.61
6/26/2015 16:00:00,20.74,6/26/2015 16:00:00,438.1,6/26/2015 16:00:00,2.47,6/26/2015 16:00:00,72.34
6/29/2015 16:00:00,20.12,6/29/2015 16:00:00,429.86,6/29/2015 16:00:00,2.34,6/29/2015 16:00:00,70
6/30/2015 16:00:00,20.11,6/30/2015 16:00:00,434.09,6/30/2015 16:00:00,2.4,6/30/2015 16:00:00,69.63
7/1/2015 16:00:00,20.4,7/1/2015 16:00:00,437.39,7/1/2015 16:00:00,2.42,7/1/2015 16:00:00,70.54
7/2/2015 16:00:00,20.42,7/2/2015 16:00:00,437.71,7/2/2015 16:00:00,2.53,7/2/2015 16:00:00,70.42
7/6/2015 16:00:00,20.17,7/6/2015 16:00:00,436.04,7/6/2015 16:00:00,2.47,7/6/2015 16:00:00,69.16
7/7/2015 16:00:00,19.79,7/7/2015 16:00:00,436.72,7/7/2015 16:00:00,2.09,7/7/2015 16:00:00,70.26
7/8/2015 16:00:00,19.65,7/8/2015 16:00:00,429.7,7/8/2015 16:00:00,2.01,7/8/2015 16:00:00,69.39
7/9/2015 16:00:00,19.41,7/9/2015 16:00:00,434.39,7/9/2015 16:00:00,1.98,7/9/2015 16:00:00,69.96
7/10/2015 16:00:00,19.75,7/10/2015 16:00:00,443.51,7/10/2015 16:00:00,1.96,7/10/2015 16:00:00,71.14
7/13/2015 16:00:00,19.88,7/13/2015 16:00:00,455.57,7/13/2015 16:00:00,1.96,7/13/2015 16:00:00,71.05
7/14/2015 16:00:00,19.89,7/14/2015 16:00:00,465.57,7/14/2015 16:00:00,2.05,7/14/2015 16:00:00,71.79
